property_age,property_type,property_size_sqft,num_rooms,num_bathrooms,location_area,avg_market_price_per_sqft,requested_price,loan_to_value_ratio,approval_status
29,Apartment,4964,3,1,Shamshabad,5140.54,25517664.59,86.46,0
1,Villa,886,1,4,Turkapally,7868.46,6971459.67,87.35,0
46,Apartment,3752,5,4,LB Nagar,16562.72,62143312.9,64.7,1
19,Apartment,1040,3,3,Alwal,17528.6,18229740.05,53.98,0
36,Independent House,4690,5,5,Bolarum,8398.01,39386668.7,70.75,1
42,Independent House,2520,5,2,ECIL,14113.85,35566906.01,78.56,0
12,Apartment,938,2,1,Yacharam,15736.61,14760944.27,82.28,0
14,Independent House,4346,3,2,Bowenpally,15649.31,68011914.13,60.28,1
32,Independent House,1220,6,1,Chintal,6209.29,7575328.74,80.47,0
11,Apartment,4296,1,2,Adibatla,15252.83,65526161.84,88.24,0
25,Villa,3549,3,4,Gachibowli,13947.09,49498240.12,75.22,0
17,Apartment,3972,5,5,Kapra,6026.13,23935773.34,61.28,1
7,Independent House,4552,1,3,Tellapur,18309.37,83344245.72,75.81,1
22,Apartment,4383,4,5,Pocharam,7123.4,31221850,74.75,1
7,Villa,2918,1,4,Kothur,3395.61,9908390.16,68.81,0
39,Villa,2067,1,5,Turkapally,5770.02,11926629.2,61.4,0
25,Apartment,1152,5,5,Gopanpally,4906.4,5652176.28,79.4,1
49,Villa,1512,6,4,Attapur,6389.27,9660577.09,52.28,1
20,Independent House,2088,6,3,Pocharam,14019.73,29273206.63,83.67,0
3,Villa,4754,4,2,Tarnaka,9322.77,44320468.64,62.39,1
30,Apartment,2466,4,2,Shamirpet,8757.3,21595502.98,62.33,1
28,Apartment,1430,1,4,Gachibowli,10165.24,14536295.8,84.41,0
47,Independent House,3686,5,2,Narsingi,16096.83,59332916.38,73.35,1
22,Villa,2199,5,5,Gundlapochampally,7398.07,16268352.42,71.11,1
50,Villa,1429,1,1,Rampally,11849.5,16932937.99,52.09,1
11,Apartment,2365,3,3,Begumpet,17167.93,40602145.32,51.18,0
40,Villa,4230,5,5,Rai Durg,6627.82,28035673.62,83.01,0
33,Apartment,1697,5,5,Attapur,8928.16,15151093.52,59.9,1
46,Villa,1522,4,5,Chintal,3873.4,5895312.31,64.3,0
12,Apartment,3603,4,2,Shabad,13918.06,50146756.7,89.2,0
1,Villa,3956,5,3,Yadagirigutta,7722.91,30551813.34,68.95,0
30,Villa,3909,5,4,Gundla Pochampally,3155.41,12334499.9,82.57,0
46,Independent House,1340,4,1,Isnapur,17758.41,23796268.49,57.82,0
6,Apartment,3194,6,5,Malkajgiri,18125.31,57892239.68,77.67,1
2,Independent House,3912,2,2,Sainikpuri,6605.8,25841908.54,77.57,1
28,Independent House,4869,4,1,Himayatnagar,4661.59,22697301.24,75.06,0
29,Independent House,837,6,1,Sagar Road,19315.39,16166984.42,53.99,0
41,Villa,2479,4,1,Jalpally,19809.49,49107736.74,64.61,1
37,Villa,1439,6,4,Hitech City,9105.81,13103265.56,58,1
8,Independent House,1161,6,3,Narsingi,19685.58,22854957.69,81.28,0
41,Apartment,1160,1,4,Manoharabad,5181.81,6010902.56,77.09,0
37,Villa,4862,4,5,Mallampet,18970.6,92235048.82,77.38,1
35,Apartment,4052,5,4,Choutuppal,19619.7,79499027.33,67.74,1
16,Independent House,1424,2,4,Turkapally,17854.18,25424346.19,71.28,0
19,Independent House,3916,1,5,Mallapur,12296.32,48152405.98,61.91,0
27,Villa,3359,6,5,Adibatla,10442.19,35075305.25,89.12,0
4,Villa,4158,4,1,Kollur,18676.02,77654871.86,54.33,0
5,Independent House,3952,4,4,LB Nagar,18985.06,75028961.17,77.08,1
36,Independent House,2531,5,3,Quthbullapur,15528.64,39302998.11,61.94,1
27,Villa,4535,4,3,Pocharam,15065.1,68320208.5,82.22,0
25,Villa,4896,1,5,Jalpally,12215.84,59808748.86,81.67,0
14,Apartment,3197,6,5,Kapra,15550.41,49714655.62,59.71,0
20,Villa,3130,2,4,Moinabad,9353.08,29275125.11,50.31,1
6,Villa,1978,1,2,ECIL,3127.05,6185307.43,54.44,0
41,Apartment,3094,5,3,Aushapur,11000.08,34034252.3,63.29,0
14,Independent House,4851,5,1,Shamshabad,4719.03,22892028.19,71.54,0
48,Independent House,4377,6,2,Dilsukhnagar,4223.23,18485077.03,85.19,0
10,Apartment,2541,3,4,Narsingi,4179.47,10620027.7,55.17,1
33,Villa,4691,1,5,Nagaram,18728.42,87855034.54,76.47,0
14,Apartment,3923,3,2,ECIL,9680.22,37975485.85,75.25,1
38,Villa,1083,3,5,Abids,3912.04,4236740.3,67.71,1
25,Villa,1731,4,3,Sangareddy,8802.08,15236396.69,73.47,1
20,Independent House,1471,1,2,Choutuppal,13258.71,19503564.18,71.99,1
33,Apartment,1324,2,5,Tellapur,19649.39,26015786.19,80.85,0
22,Villa,1976,6,3,Bibi Nagar,15978.84,31574196.21,64.61,1
6,Independent House,1346,5,1,Bachupally,13224.33,17799943.92,88.54,0
40,Independent House,4416,4,5,Kapra,6012.45,26550983.42,81.74,0
45,Independent House,1204,1,1,Chengicherla,19284.08,23218033.25,68.37,0
47,Apartment,3417,3,1,Dilsukhnagar,6342.94,21673812.04,52.34,1
33,Villa,2055,6,1,Dilsukhnagar,15186.71,31208682.14,56.87,1
43,Villa,4856,3,3,Moinabad,7552.17,36673355.06,58.05,0
15,Villa,2892,5,3,Shamshabad,10952.56,31674800.34,55.11,1
11,Apartment,2755,4,4,Shamshabad,4454.55,12272294.88,59.33,1
21,Villa,582,6,4,Himayatnagar,15232.61,8865378.21,66.2,1
44,Independent House,1816,6,3,Shadnagar,4596.48,8347208.63,62.7,1
6,Villa,2511,1,5,Sainikpuri,5920.55,14866492.49,78.27,1
27,Independent House,1122,3,2,ECIL,8761.31,9830191.21,56.1,0
3,Villa,4152,5,2,Manoharabad,12817.23,53217124.03,87.71,0
13,Apartment,2299,1,4,Rai Durg,11112.54,25547738.18,65.12,0
14,Apartment,2724,6,1,Nacharam,14776.7,40251742.22,75.41,1
14,Independent House,4343,6,5,Adibatla,6844.9,29727392.83,67.95,1
10,Independent House,520,3,3,ECIL,4103.23,2133680.66,57.13,1
13,Villa,4617,2,2,LB Nagar,15474.36,71445137.13,77.4,1
42,Apartment,2609,4,4,Miyapur,9461.15,24684141.44,81.65,0
12,Independent House,4288,5,1,ECIL,17217.83,73830036.96,80.41,0
15,Independent House,3803,4,3,Sangareddy,19049.98,72447059.96,51.05,0
27,Apartment,4072,4,4,Kapra,19685.19,80158098.71,58.85,1
26,Apartment,4062,4,4,Ghatkesar,3517.68,14288801.64,60.61,0
37,Villa,4046,4,1,Choutuppal,14493.44,58640469.14,89.9,0
42,Apartment,2600,6,2,Isnapur,10711.46,27849796.99,59.59,1
19,Apartment,2706,3,1,Sainikpuri,10491.76,28390700.65,74.88,0
22,Villa,4054,3,4,LB Nagar,17526.18,71051113.96,70.92,0
37,Apartment,1530,4,2,Somajiguda,7332.59,11218868.65,64.8,1
21,Villa,4399,1,2,Gundlapochampally,17811.82,78354177.3,78.38,1
22,Apartment,883,1,4,Narsingi,19638.26,17340581.75,62.99,0
41,Apartment,3512,5,3,Pargi,9573.83,33623286.54,85.94,0
18,Apartment,4971,4,1,Pargi,8374.6,41630142.17,83.95,0
28,Villa,4812,4,5,Chandanagar,19219.23,92482921.78,53.18,1
16,Apartment,1877,6,3,Tarnaka,18191.05,34144604.65,77.02,1
36,Independent House,1167,5,5,Alwal,6936.19,8094530.85,57.02,1
35,Independent House,4052,6,1,Mehdipatnam,7256.2,29402139.07,77.46,1
41,Villa,1986,1,2,Tarnaka,4542.47,9021342.29,51.63,0
36,Villa,4694,4,2,Pocharam,15023.77,70521573.41,75.87,1
18,Independent House,606,4,3,Dundigal,19188.56,11628264.74,89.35,0
42,Independent House,1215,3,5,Keesara,3115.5,3785337.49,51.93,1
37,Independent House,4680,5,2,Isnapur,8051.4,37680570.87,57.97,1
30,Apartment,4301,3,4,Hitech City,5460.04,23483618.74,74.44,1
49,Independent House,2327,4,4,Nagole,19746.53,45950178.25,58.93,0
23,Apartment,1748,2,5,Himayatnagar,12659.79,22129316.98,86.5,0
15,Independent House,4718,2,4,Bowenpally,9076.59,42823363.13,54.24,1
45,Apartment,4136,5,3,Gundla Pochampally,7256.98,30014858.45,72.82,1
21,Villa,1693,4,3,Begumpet,11746.3,19886481.4,56.89,0
17,Independent House,1210,3,3,Pocharam,7645.26,9250758.89,75.46,1
39,Apartment,688,1,3,Moula Ali,15136.56,10413954.69,66.37,1
16,Villa,2822,4,3,Chintal,3087.82,8713816.91,57.07,1
29,Villa,3240,3,2,Choutuppal,5518.33,17879382.35,85.61,0
11,Villa,1105,6,3,Adibatla,18469.15,20408407.83,73.62,1
50,Independent House,1355,3,1,Maheshwaram,11144.94,15101391.68,58,0
41,Independent House,3216,3,2,Tolichowki,19519.62,62775106.95,83.35,0
22,Apartment,3622,1,1,Nanakramguda,11943.29,43258596.98,61.3,0
5,Independent House,4510,2,5,Kapra,3374.29,15218066.98,82.5,0
25,Independent House,501,4,5,Isnapur,17191.56,8612970.29,50.58,1
5,Apartment,784,3,1,Rampally,4745.4,3720391.35,65.04,1
42,Villa,3596,2,2,Tarnaka,3615.81,13002467.17,77.68,1
23,Villa,2227,2,1,Turkapally,5010.74,11158908.33,81.45,0
23,Independent House,947,4,4,Jalpally,3430.14,3248338.3,57.29,1
20,Apartment,3257,1,1,Tellapur,8751.78,28504534.52,54.43,1
5,Apartment,2516,2,3,Ghatkesar,10376.45,26107145.57,59.66,1
5,Apartment,2948,5,1,Jeedimetla,15706.83,46303723.52,58.72,1
14,Independent House,3370,3,4,Dundigal,15683.31,52852756.01,86.7,0
18,Independent House,3231,2,2,Thumkunta,13761.4,44463091.86,59.84,1
28,Independent House,1702,6,2,Secunderabad,16331.18,27795675.73,81.02,0
34,Independent House,668,3,4,Shankarpally,15266.14,10197781.83,62.32,1
36,Independent House,1411,4,5,Jalpally,6564.18,9262062.97,77.18,1
6,Villa,4223,1,5,Bachupally,13193.17,55714758.87,87.64,0
21,Apartment,3752,2,4,Tolichowki,8727.7,32746340.49,73.79,1
50,Apartment,2469,2,1,Kompally,6955.31,17172655.85,59.73,1
20,Villa,4211,4,3,Abids,3486.75,14682685.1,67.96,1
32,Apartment,2177,4,3,Mallampet,14030.25,30543846.74,66.18,0
46,Apartment,3440,2,3,Quthbullapur,18221.67,62682534.75,58.75,1
40,Apartment,675,6,2,Somajiguda,18468.93,12466530.22,74.71,0
5,Apartment,2718,5,1,Tarnaka,9927.14,26981959.51,56.39,1
50,Villa,3463,3,2,Tukkuguda,7662.9,26536625.13,57.41,0
19,Apartment,4785,5,3,Safilguda,8114.31,38826988.01,81.19,0
22,Apartment,1659,1,3,Madhapur,19294.58,32009714.49,86.54,0
21,Villa,1759,4,1,Nanakramguda,8820.52,15515286.72,56.89,0
24,Villa,1502,4,1,Mallapur,18285.02,27464103.86,54.29,1
38,Independent House,2260,5,3,Tarnaka,4665.89,10544920.74,70.93,0
28,Villa,1864,2,4,Rudraram,5252.25,9790201,77.43,1
2,Independent House,1138,4,1,Rai Durg,17523.49,19941731.32,55.34,0
1,Apartment,3920,3,3,ECIL,19140.6,75031145.18,67.69,1
47,Apartment,3307,4,3,Pargi,7178.71,23739991.7,77.71,0
17,Villa,2294,4,2,Kothapet,17811.6,40859805.06,77.34,1
4,Villa,4552,5,4,Ameerpet,8603.89,39164926.47,80.99,0
37,Apartment,1089,2,5,Begumpet,10653.84,11602027.74,62.61,1
7,Independent House,1199,6,3,Jeedimetla,18756.49,22489029.18,54.36,1
41,Independent House,4172,4,2,Maheshwaram,17518.18,73085826.94,80.55,0
4,Apartment,2178,6,4,Shabad,7465.37,16259579.58,57.32,1
19,Villa,4830,2,4,Isnapur,16589.55,80127523.32,81.1,0
14,Apartment,877,1,4,Rajendranagar,19397.06,17011217.97,67.25,1
39,Apartment,3641,2,1,Bibi Nagar,14467.88,52677568.89,69.12,0
22,Independent House,1732,5,5,Rampally,10108.78,17508406.27,51.5,0
37,Independent House,4243,2,2,Kothapet,12980.69,55077085.03,64.64,1
14,Independent House,2233,1,1,Nagaram,9767.49,21810810.73,63.7,0
18,Independent House,1886,3,2,Shadnagar,13058.49,24628317.88,61.86,0
49,Villa,2685,4,3,Uppal,3500.05,9397634.29,58.37,1
23,Villa,3598,6,2,Manikonda,15476.66,55685034.71,85.53,0
31,Apartment,3176,4,5,Kollur,11458.14,36391055.45,74.46,1
1,Villa,2035,6,5,Rai Durg,13778.19,28038608.33,53.42,1
33,Villa,2131,2,2,Madhapur,10864.17,23151554.08,65.47,1
7,Independent House,3089,6,3,Mallampet,14195.52,43849960.09,66.22,0
42,Independent House,3224,2,3,Aushapur,6447.37,20786312.42,85.97,0
8,Villa,2706,5,5,Mehdipatnam,13032.13,35264955.03,88.97,0
14,Villa,1276,3,4,Attapur,10680.99,13628938.82,56.59,0
15,Independent House,2882,5,4,Shadnagar,12344.48,35576798.4,59.33,1
40,Villa,1359,5,3,Himayatnagar,14793.5,20104366.24,74.06,1
34,Independent House,4992,2,1,Sainikpuri,5877,29338007.22,52.76,0
26,Villa,524,5,3,Yadagirigutta,12100.56,6340695.08,79.01,0
31,Independent House,1736,3,2,Nagole,17484.85,30353692.73,71.22,0
16,Independent House,3356,1,4,Ghatkesar,11364.27,38138488.45,67.57,1
17,Villa,4613,6,4,Ameerpet,7363.38,33967252.52,52.69,1
16,Independent House,3153,1,3,Shadnagar,17713.34,55850168.09,65.34,1
43,Apartment,3455,4,4,Kompally,16655.52,57544819.42,56.16,1
40,Apartment,1059,2,2,Pocharam,11880.68,12581635.06,72.82,1
22,Villa,3910,2,5,Rampally,17115.06,66919893.38,69.1,1
28,Villa,3434,4,4,Jeedimetla,15254.76,52384853.88,89.35,0
35,Apartment,2988,3,4,Pargi,3163.78,9453361.86,75.98,1
18,Villa,3097,2,5,Sagar Road,5606.82,17364324.97,77.59,1
43,Apartment,2745,6,5,Cherlapally,3960.09,10870445.71,62.56,0
37,Apartment,4098,6,5,Dundigal,13623,55827048.99,58.84,0
18,Apartment,1790,6,1,Malkajgiri,9246.89,16551934.96,81.88,0
15,Apartment,2102,1,1,Keesara,9566.28,20108314.96,71.82,1
30,Villa,3090,2,5,Somajiguda,11651.45,36002987.94,71.36,0
47,Villa,2182,2,5,Malkajgiri,6182.47,13490141.05,51.88,1
29,Independent House,3271,3,1,Rajendranagar,5288.87,17299903.68,79.77,1
32,Villa,2595,1,4,Bowrampet,6592.97,17108749.91,65.05,1
4,Villa,3374,6,5,Koheda,6261.3,21125640.59,53.82,1
39,Apartment,3808,3,4,Mallampet,15016.44,57182604.75,51.63,1
34,Apartment,973,4,5,Bowenpally,4070.27,3960371.45,58.65,1
42,Independent House,4879,2,2,Koheda,8034.72,39201422.75,63.34,1
23,Independent House,4228,3,4,Hitech City,11887.71,50261232.67,77.72,1
37,Independent House,2831,2,2,Moinabad,11138.55,31533224.04,85.48,0
11,Apartment,2376,3,4,Nanakramguda,11998.77,28509075.23,53.32,0
49,Independent House,1367,5,1,Mehdipatnam,14518.41,19846667.46,54.26,0
42,Independent House,3092,1,2,Bolarum,5944.46,18380255.36,86.06,0
16,Independent House,1711,2,1,Narsingi,12603.89,21565252.79,67.75,1
4,Villa,1860,4,2,Bibi Nagar,13533.05,25171478.61,68,1
5,Villa,3218,1,2,Kapra,13664.94,43973769.65,56.04,0
4,Apartment,1862,6,5,Shankarpally,8986.34,16732562.84,87.72,0
4,Villa,2681,2,2,Kothur,12451.34,33382031.33,61.77,0
40,Independent House,2168,5,2,ECIL,4159.94,9018747.86,59.37,1
13,Independent House,4882,5,5,Bolarum,4754.03,23209183.24,55.68,1
7,Apartment,4444,5,5,Sainikpuri,15167.32,67403550.9,76.77,0
5,Apartment,1459,4,3,Jeedimetla,18680.55,27254917.55,66.27,1
1,Villa,2675,6,1,ECIL,16213.63,43371448.25,72.15,0
1,Independent House,2549,2,2,Ghatkesar,19419.32,49499836.65,67.46,1
16,Apartment,1529,1,3,Financial District,4664.48,7131995.36,60.67,0
10,Independent House,2587,5,1,Nagaram,3829.4,9906659.75,75.74,1
44,Independent House,3849,5,3,Manoharabad,16762.17,64517574.41,51.66,1
45,Independent House,3876,1,5,Rai Durg,18169.95,70426731.78,67.67,1
21,Apartment,2962,5,3,Bolarum,4102.79,12152476.75,71.87,0
42,Independent House,4051,2,2,Pargi,11324.39,45875115.59,50.07,1
46,Independent House,1431,5,1,Gachibowli,12961.01,18547204.92,86.54,0
41,Villa,1730,3,4,Secunderabad,3744.95,6478757.08,86.65,0
28,Apartment,2525,5,5,Choutuppal,5572.54,14070672.46,86.94,0
24,Independent House,618,2,5,Mangalpally,10303.29,6367431.73,58.98,1
4,Apartment,1697,5,5,Pargi,8193.24,13903927.24,64.65,1
11,Independent House,2467,2,1,Rudraram,6693.31,16512389.98,89.3,0
12,Independent House,2320,1,3,Gundlapochampally,14321.74,33226442.14,68.16,0
8,Independent House,4997,1,5,Nacharam,3517.63,17577583.18,75.04,1
42,Independent House,4116,6,5,Kapra,15901.54,65450751.43,56.02,1
33,Apartment,2340,2,3,Nagole,3977.96,9308427.44,73.68,1
9,Villa,1088,2,4,Kothur,8729.11,9497274.87,53.74,1
7,Apartment,3646,5,3,Kapra,15089.66,55016916.87,89.89,0
16,Villa,2988,1,3,Jubilee Hills,9072.4,27108330.24,58.91,0
4,Independent House,4577,2,1,Safilguda,10716.71,49050385.13,82.67,0
23,Independent House,2151,3,4,Madhapur,13053.28,28077608.84,67.08,0
2,Independent House,2640,1,2,Medchal,13414.55,35414413.2,84.27,0
28,Villa,1610,1,4,Nawabpet,9523.62,15333032.39,68.16,0
34,Independent House,4777,2,2,Sangareddy,13214.61,63126168.97,53.19,1
5,Villa,4351,6,5,Tolichowki,6518.35,28361355.09,75.44,1
30,Independent House,3043,3,4,Tolichowki,13059.81,39741005.33,65.4,0
46,Apartment,3450,5,1,Choutuppal,7703.81,26578144.64,72.27,0
7,Apartment,1812,1,4,Bachupally,6056.77,10974866.06,71.78,1
29,Villa,1728,4,1,ECIL,15701.51,27132213.22,76.3,0
45,Apartment,3686,4,3,Kompally,8020.5,29563559.75,87.3,0
20,Villa,4772,6,2,Himayatnagar,19890.08,94915484.86,84.57,0
22,Villa,3202,3,2,Hitech City,18013.49,57679201.37,75.64,0
17,Independent House,1481,4,2,Tarnaka,6726.73,9962282.88,76.97,1
22,Villa,2874,3,2,Banjara Hills,3630.07,10432820.84,65.98,0
15,Villa,1715,6,2,Gundla Pochampally,19039.94,32653503.12,53.53,1
38,Villa,670,5,4,Kompally,12245.67,8204599.46,74.59,1
25,Apartment,1904,3,4,Kothapet,18131.84,34523019.14,52.09,1
10,Apartment,2404,6,3,Sagar Road,16734.38,40229443.52,58.4,1
35,Villa,3399,2,3,ECIL,15622.26,53100075.42,79.35,1
49,Villa,3805,1,2,Mehdipatnam,16099.58,61258915.44,53.34,0
24,Villa,2169,3,5,Moinabad,6361.14,13797318.57,86.36,0
27,Apartment,3232,2,4,LB Nagar,15790.21,51033966.74,70.11,1
31,Villa,644,4,3,Ibrahimpatnam,8921.06,5745164.66,85.68,0
8,Villa,3954,5,1,Alwal,4057.69,16044097.74,82.64,0
44,Apartment,3659,5,1,Yadagirigutta,17687.71,64719324.94,81.42,0
14,Villa,4524,6,1,Shankarpally,18333.38,82940189.59,87.78,0
50,Villa,1088,3,4,Dundigal,3585.05,3900536.21,61.85,1
20,Independent House,3627,1,1,Pragathi Nagar,17804.62,64577372.47,64.07,1
25,Independent House,1231,5,1,ECIL,16915.04,20822414.95,88.79,0
32,Independent House,1313,1,4,Safilguda,9275.52,12178755.78,86.89,0
43,Villa,1920,4,3,Chandanagar,4259.27,8177793.27,61.45,0
47,Villa,816,2,5,Bibinagar,6068.07,4951546.63,80.6,0
31,Apartment,3684,6,4,Rai Durg,9382.26,34564255.14,69.99,1
26,Apartment,2584,3,5,Bibinagar,17232.98,44530026.16,80.52,0
47,Apartment,845,4,4,Turkapally,5528.34,4671450.05,50.79,1
46,Villa,3316,4,1,Mallapur,11178.21,37066949.57,87.04,0
20,Apartment,1204,3,1,Secunderabad,17025.86,20499139.21,71.19,1
42,Independent House,4071,3,2,Chintal,19902.71,81023934.66,89.81,0
5,Apartment,4267,4,2,Bachupally,15557.75,66384916.45,65.41,0
46,Apartment,747,4,5,Isnapur,3586.88,2679401.79,57.92,1
32,Independent House,1523,1,1,Uppal,12174.28,18541424.45,56.75,0
44,Apartment,973,5,1,Adibatla,16037.4,15604392.37,59.9,1
29,Villa,1452,1,2,Mallampet,16679.57,24218736.45,65.86,1
13,Independent House,4167,2,4,Cherlapally,8243.59,34351028.4,72.27,1
15,Independent House,4782,1,4,Mangalpally,3045.23,14562267.48,50.69,1
